data_index,cluster,probability,outlier_score
625,-1,0.0,0.0009571342715792745
626,-1,0.0,0.00827616378021757
627,-1,0.0,0.002518678735415563
628,-1,0.0,0.0004839236448326684
629,-1,0.0,0.00010616650010590973
630,-1,0.0,0.0018166187385703838
631,-1,0.0,0.1785077609467827
632,-1,0.0,0.1520226376913992
633,-1,0.0,0.032042102229431504
634,-1,0.0,0.04237533230308396
635,-1,0.0,0.005946158240705781
636,-1,0.0,0.25617683227267846
637,-1,0.0,0.007837244806014252
638,58,1.0,0.06578840742125659
639,-1,0.0,0.08228525376534569
640,-1,0.0,0.002263662765008527
641,-1,0.0,0.12610285174736877
642,-1,0.0,0.0122609692183485
643,-1,0.0,0.0035862723607302
644,-1,0.0,0.002098119355984343
645,-1,0.0,0.003477497285551933
646,-1,0.0,0.006096889498335603
647,-1,0.0,0.014331703575934789
648,-1,0.0,0.007684390516376638
649,-1,0.0,0.000533991531476849
650,-1,0.0,0.010762599328284548
651,-1,0.0,0.018733894704783215
652,-1,0.0,0.0011613860573738367
653,-1,0.0,0.005260389101913626
654,-1,0.0,0.008464874058143277
655,-1,0.0,0.0021330407841835316
656,-1,0.0,0.007221983790415306
657,-1,0.0,0.006004900136032422
658,-1,0.0,0.004873209284042298
659,-1,0.0,0.012927299670061785
660,-1,0.0,0.022631819768598786
661,-1,0.0,0.011103563891631293
662,-1,0.0,0.07563222151511963
663,-1,0.0,0.02707802036673885
664,-1,0.0,0.027820189980514498
665,-1,0.0,0.0052998542176927056
666,-1,0.0,0.020440973454561383
667,-1,0.0,0.0004474421248394049
668,-1,0.0,0.0028200847796731356
669,-1,0.0,0.003992663154795624
670,-1,0.0,0.035204416659762976
671,-1,0.0,0.014208879657419859
672,-1,0.0,0.0011613860573738367
673,-1,0.0,0.00566303054403232
674,-1,0.0,0.00028136542063648013
675,-1,0.0,0.016843503611019023
676,-1,0.0,0.030540235746852593
677,-1,0.0,0.02964529219995461
678,-1,0.0,0.020875538013608648
679,-1,0.0,0.03888324619419786
680,-1,0.0,0.0007226073183649106
681,-1,0.0,0.004756357905822805
682,52,0.9016919164072741,0.09830808359272594
683,-1,0.0,0.0018136035818716119
684,-1,0.0,0.03546446259094812
685,-1,0.0,0.011367323523096093
686,-1,0.0,0.012358282726048631
687,-1,0.0,0.00640331010021171
688,-1,0.0,0.15749952252228763
689,-1,0.0,0.16776523891545186
690,-1,0.0,0.004985057121358484
691,-1,0.0,0.00213605495847821
692,-1,0.0,0.03977064298585773
693,-1,0.0,0.012261692867906897
694,-1,0.0,0.02929256013396926
695,-1,0.0,0.003956621542839342
696,-1,0.0,0.0740609641688971
697,-1,0.0,0.008030557607202322
698,-1,0.0,0.0555377032420082
699,58,0.936985870091912,0.063014129908088
700,-1,0.0,0.00046237736681017624
701,-1,0.0,0.0029295805543753414
702,-1,0.0,0.025638022537409568
703,60,1.0,0.0
704,-1,0.0,0.22747729779113646
705,-1,0.0,0.00280760027717832
